item,ingredient,amount,unit,amount_mg,component_id,match_score,match_method
DE1234,TIROSINA,0.07,g,70.0,COMP_118130811685,100.0,exact_es
DE1234,TAURINA,0.27,g,270.0,COMP_0D2B15E9F9EE,100.0,exact_es
DE1234,TRIGLICERIDOS DE CADENA MEDIA,9.13,g,9130.0,COMP_4772744D7755,100.0,exact_es
DE1234,CISTEINA,0.05,g,50.0,COMP_AB3E85388234,100.0,exact_es
DE1234,CARNITINA,0.07,g,70.0,COMP_0987F386BB65,100.0,exact_translated
DE1234,LEUCINA,3.07,g,3070.0,COMP_79C0DB8C42D9,100.0,exact_es
DE1234,ACEITE DE CANOLA,4.55,g,4550.0,COMP_FCF0EA14FCA0,100.0,exact_es
DE1234,ISOLEUCINA,2.5,g,2500.0,COMP_487092BE6237,100.0,manual_alias
DE1234,LISINA,1.48,g,1480.0,COMP_88C3AA63DEDF,100.0,exact_es
DE1234,VALINA,2.27,g,2270.0,COMP_ED40E281CA3A,100.0,manual_alias
DE1234,PROLINA,1.6,g,1600.0,COMP_D4790F9775EF,85.71428571428572,fuzzy_translated
DE1234,ARGININA,1.47,g,1470.0,COMP_984D98F1A15A,88.88888888888889,fuzzy_translated
DE1234,ALANINA,1.47,g,1470.0,COMP_506514090324,87.5,fuzzy_translated
DE1234,GLICINA,0.8,g,800.0,COMP_37A112F48957,100.0,exact_es
DE1254,CLORHIDRATO DE TIAMINA,50.0,mg,50.0,COMP_4F4F134A6B55,100.0,exact_translated
DE1254,RIBOFLAVINA,50.0,mg,50.0,COMP_586F3B3DE0F3,100.0,manual_alias
DE1254,NIACINAMIDA,50.0,mg,50.0,COMP_7A51909809FD,100.0,manual_alias
DE1254,PIRIDOXINA,50.0,mg,50.0,COMP_14223AB15C02,100.0,manual_alias
DE1254,ACIDO FOLICO,400.0,mcg,0.4,COMP_A9136ADF22F7,100.0,manual_alias
DE1254,CIANOCOBALAMINA,50.0,mcg,0.05,COMP_06B36D3A8FF3,100.0,manual_alias
DE1254,BIOTINA,50.0,mcg,0.05,COMP_641FDABDC956,100.0,manual_alias
DE1254,ACIDO PANTOTENICO,50.0,mg,50.0,COMP_CCEF1C481D8D,100.0,manual_alias
DE1254,INOSITOL,50.0,mg,50.0,COMP_430EB7DE720D,100.0,manual_alias
